family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component
"Wang family, Wuxian, Jiangsu","Wuxian, Jiangsu",Jiangsu,Jiangsu,FALSE,4,4,1.738890883364784e-5,4.78080830758105e-7,3,TRUE
"Wang family, Wujin, Jiangsu","Wujin, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,0,6.845483449963664e-6,3,TRUE
"Wang family, jiang yin, Jiangsu","jiang yin, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,3.28609300793345e-5,7.87894563910932e-5,3,TRUE
"Wang family, lou xian, Jiangsu","lou xian, Jiangsu",Jiangsu,Jiangsu,TRUE,4,4,0.0012537814030686,1.2469067479040329e-7,3,TRUE
"Wang family, zhen yang, Jiangsu","zhen yang, Jiangsu",Jiangsu,Jiangsu,FALSE,4,4,3.327169170532618e-5,3.721462866528526e-7,3,TRUE
"Wang family, shang yu, Zhejiang","shang yu, Zhejiang",Zhejiang,Zhejiang,TRUE,3,4,6.144993924835551e-4,4.516082936788072e-7,3,TRUE
"Wang family, xiao shan, Zhejiang","xiao shan, Zhejiang",Zhejiang,Zhejiang,TRUE,2,4,2.738410839944542e-7,0,16,FALSE
"sheng family, Xiushui, Zhejiang","Xiushui, Zhejiang",Zhejiang,Zhejiang,FALSE,3,4,5.641126330285756e-5,3.93452810656308e-7,3,TRUE
"took_wife family, zhang sha, Hunan","zhang sha, Hunan",Hunan,Other,TRUE,2,4,3.808825210491752e-5,3.4495888582384463e-9,3,TRUE
"zu family, pu cheng, Fujian","pu cheng, Fujian",Fujian,Other,TRUE,4,4,0.00306893702832584,2.413910474775203e-9,3,TRUE
"qin family, jia ding, Jiangsu","jia ding, Jiangsu",Jiangsu,Jiangsu,TRUE,4,4,1.3692054199722708e-6,5.074062063815709e-9,3,TRUE
"qin family, Jiangning, Jiangsu","Jiangning, Jiangsu",Jiangsu,Jiangsu,TRUE,2,4,8.215232519833625e-5,2.50409147192461e-6,3,TRUE
"Cheng family, tong xiang, Zhejiang","tong xiang, Zhejiang",Zhejiang,Zhejiang,TRUE,4,4,6.892123682333755e-4,8.516668786080957e-7,3,TRUE
"Cheng family, ning xiang, Hunan","ning xiang, Hunan",Hunan,Other,TRUE,3,4,1.2363924942349606e-4,5.262464151202928e-5,3,TRUE
"luo family, shang yu, Zhejiang","shang yu, Zhejiang",Zhejiang,Zhejiang,TRUE,3,4,0.00245553300017827,6.367381057507895e-8,3,TRUE
"Weng family, da xing, Zhili","da xing, Zhili",Zhili,Other,TRUE,3,4,6.496879717768425e-4,1.440103233546842e-7,3,TRUE
"nie family, heng shan, Hunan","heng shan, Hunan",Hunan,Other,TRUE,3,4,1.9543125361070888e-4,3.166922039093145e-7,3,TRUE
"Hu family, xin jian, Jiangxi","xin jian, Jiangxi",Jiangxi,Other,TRUE,3,4,0.00122872494388311,3.3855900900331814e-9,3,TRUE
"Hu family, da xing, Zhili","da xing, Zhili",Zhili,Other,TRUE,4,4,6.153209157355385e-4,1.307440495006206e-7,3,TRUE
"shu family, jing an, Jiangxi","jing an, Jiangxi",Jiangxi,Other,TRUE,2,4,0.00122735573846314,6.688608326057217e-7,3,TRUE
"ge family, ping hu, Zhejiang","ping hu, Zhejiang",Zhejiang,Zhejiang,TRUE,2,4,2.6790786050790767e-4,5.123498568607749e-5,3,TRUE
"cai family, de hua, Jiangxi","de hua, Jiangxi",Jiangxi,Other,TRUE,4,4,0.00245608068234625,4.16710369353976e-11,3,TRUE
"cai family, xin shui, Hubei","xin shui, Hubei",Hubei,Other,TRUE,3,4,6.859719154061077e-4,5.002718762239602e-7,3,TRUE
"xue family, Wuxi, Jiangsu","Wuxi, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,0.00122872494388311,1.0292730082540456e-8,3,TRUE
"pei family, took_wife wo, Shanxi","took_wife wo, Shanxi",Shanxi,Other,TRUE,2,4,6.144993924835551e-4,0.00713153706714109,3,TRUE
"pei family, xiang fu, Henan","xiang fu, Henan",Henan,Other,TRUE,4,4,7.042736278530703e-4,3.089981385203613e-7,3,TRUE
"Xu family, fan yu, Guangdong","fan yu, Guangdong",Guangdong,Other,TRUE,4,4,0.00184240281311468,5.015806348861486e-5,3,TRUE
"Xu family, Renhe, Zhejiang","Renhe, Zhejiang",Zhejiang,Zhejiang,FALSE,4,4,0.00306811550507386,4.429609190540091e-7,3,TRUE
"xie family, jia shan, Zhejiang","jia shan, Zhejiang",Zhejiang,Zhejiang,FALSE,4,4,0,2.6091216860655216e-6,3,TRUE
"bei family, Wuxian, Jiangsu","Wuxian, Jiangsu",Jiangsu,Jiangsu,TRUE,4,4,0.00122872494388311,5.132705378174167e-7,3,TRUE
"Zhao family, Wujin, Jiangsu","Wujin, Jiangsu",Jiangsu,Jiangsu,FALSE,3,4,0,5.0768615442298184e-5,3,TRUE
"bian family, ren qiu, Zhili","ren qiu, Zhili",Zhili,Other,TRUE,3,4,0.00122872494388311,2.227130345534899e-6,3,TRUE
"deng family, jin kui, Jiangsu","jin kui, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,6.144993924835551e-4,5.024326041902575e-6,3,TRUE
"qiu family, ning dou, Jiangxi","ning dou, Jiangxi",Jiangxi,Other,TRUE,3,4,0.00368015032780146,9.469216069555232e-7,3,TRUE
"Zheng family, yu hang, Zhejiang","yu hang, Zhejiang",Zhejiang,Zhejiang,TRUE,2,4,6.473603225628896e-4,1.42723740860308e-6,3,TRUE
"Zheng family, zun yi, Guizhou","zun yi, Guizhou",Guizhou,Other,TRUE,1,4,0,4.779613312777046e-7,3,TRUE
"jin family, unknown",unknown,qi ta,Other,FALSE,4,4,0.00125674801481188,6.762080551878076e-8,3,TRUE
"jin family, jia ding, Jiangsu","jia ding, Jiangsu",Jiangsu,Jiangsu,FALSE,4,4,7.887992424460252e-4,6.666018692185664e-7,3,TRUE
"Lu family, zhang zhou, Jiangsu","zhang zhou, Jiangsu",Jiangsu,Jiangsu,FALSE,4,4,2.6014902979473147e-6,2.408411441821725e-5,3,TRUE
"Lu family, gui an, Zhejiang","gui an, Zhejiang",Zhejiang,Zhejiang,TRUE,3,4,0.00179858823967557,2.7205115309962745e-5,3,TRUE
"Chen family, gui an, Zhejiang","gui an, Zhejiang",Zhejiang,Zhejiang,FALSE,3,4,0.0010760585395562,4.808910290867037e-7,3,TRUE
"Chen family, zhen hai, Zhejiang","zhen hai, Zhejiang",Zhejiang,Zhejiang,TRUE,3,4,0.00208187684106783,2.019566752398454e-9,3,TRUE
"Chen family, gui yang, Guizhou","gui yang, Guizhou",Guizhou,Other,TRUE,2,4,6.144993924835551e-4,3.727443700408173e-5,3,TRUE
"wei family, yong ning, Guangxi","yong ning, Guangxi",Guangxi,Other,TRUE,2,4,3.751622850724022e-5,3.320557127726072e-11,3,TRUE
"Gu family, nan hui, Jiangsu","nan hui, Jiangsu",Jiangsu,Jiangsu,TRUE,2,4,7.119868183855809e-6,1.3056927534113058e-7,3,TRUE
"Gu family, Wuxian, Jiangsu","Wuxian, Jiangsu",Jiangsu,Jiangsu,FALSE,4,4,9.187368368013938e-5,0.00237735250245672,3,TRUE
"Gu family, jin kui, Jiangsu","jin kui, Jiangsu",Jiangsu,Jiangsu,TRUE,4,4,6.16827041697508e-4,5.41429954173664e-7,3,TRUE
"Gu family, Qiantang, Zhejiang","Qiantang, Zhejiang",Zhejiang,Zhejiang,TRUE,4,4,0.0010907774978209,1.5037791140028958e-5,3,TRUE
"Gao family, Rugao, Jiangsu","Rugao, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,7.243096671653313e-5,1.2870781704726366e-7,3,TRUE
"wei family, Yanghu, Jiangsu","Yanghu, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,7.94139143583917e-6,8.313816071076031e-5,3,TRUE
"bao family, Jiangdu, Jiangsu","Jiangdu, Jiangsu",Jiangsu,Jiangsu,TRUE,1,4,0,2.2371161900115334e-6,3,TRUE
"Huang family, unknown",unknown,qi ta,Other,FALSE,4,4,2.067500184158129e-5,6.2037132413604e-7,3,TRUE
"Huang family, ning xiang, Hunan","ning xiang, Hunan",Hunan,Other,TRUE,4,4,0.00123885706399091,1.270654735080349e-7,3,TRUE
"long family, you xian, Hunan","you xian, Hunan",Hunan,Other,TRUE,1,4,0,4.470917207508797e-6,3,TRUE
"Yan family, unknown",unknown,qi ta,Other,FALSE,3,3,0.00114819284509841,1.1555709965069296e-6,3,TRUE
"Yan family, lai an, Anhui","lai an, Anhui",Anhui,Anhui,TRUE,2,3,3.6968546339251315e-5,1.949024035785098e-9,3,TRUE
"Ren family, Yixing, Jiangsu","Yixing, Jiangsu",Jiangsu,Jiangsu,FALSE,2,3,0,1.9045794599607423e-6,3,TRUE
"He family, Shexian, Anhui","Shexian, Anhui",Anhui,Anhui,TRUE,3,3,0.00184240281311468,4.984310796824026e-5,3,TRUE
"He family, jiang yin, Jiangsu","jiang yin, Jiangsu",Jiangsu,Jiangsu,TRUE,3,3,0.00122872494388311,9.87799157689179e-16,3,TRUE
"He family, hou guan, Fujian","hou guan, Fujian",Fujian,Other,FALSE,3,3,0.00122872494388311,9.617150419495536e-9,3,TRUE
