family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component,confirmed_female_writer_count,literary_clue_count,uncertain_literary_clue_count,has_confirmed_female_writer,literary_norm,female_norm,female_binary,LCP_main_0604,LCP_equal_0505,LCP_literary_heavy_0802,LCP_female_heavy_0208,LCP_binary_female_0703,record_exposure_log,z_weighted_degree,z_unweighted_degree,z_betweenness,z_eigenvector,z_record_exposure,LCP_pca
曹氏（江苏上海）,江苏上海,江苏,江苏,TRUE,12,21,0.00669378058519657,8.202166042314833e-6,3,TRUE,8,8,0,1,0.7108361048063275,0.7216976134290604,1,0.7151807082554207,0.7162668591176939,0.7130084065308742,0.7195253117045138,0.7975852733644293,3.091042453358316,1.3432418940021345,1.854993577641156,0.5781982054658443,-0.04615672718769587,2.779577438211486,0.2443755411754222
沈氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,18,21,0.00922059441953859,8.472123923930269e-5,3,TRUE,2,2,0,1,0.35541805240316376,0.3608488067145302,1,0.35759035412771034,0.35813342955884697,0.3565042032654371,0.3597626558522569,0.5487926366822147,3.091042453358316,1.3432418940021345,3.041440625013627,0.8498305249438103,-0.043490001655295936,2.779577438211486,0.5527740685707556
许氏（浙江德清）,浙江德清,浙江,浙江,TRUE,12,21,0.00572001538256649,0.00492161776958954,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,3.091042453358316,1.3432418940021345,1.854993577641156,0.47351851081544,0.12507810739453173,2.779577438211486,0.6665947890747511
陆氏（浙江桐乡）,浙江桐乡,浙江,浙江,TRUE,14,21,0.00833000388215376,5.265246281296035e-5,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,3.091042453358316,1.3432418940021345,2.250475926765313,0.754092101286666,-0.044607613530557366,2.779577438211486,0.6665947890747511
华氏（江苏无锡）,江苏无锡,江苏,江苏,TRUE,14,20,0.00415006162793595,6.551277991239834e-5,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,3.044522437723423,1.2650273696603933,2.250475926765313,0.3047485863961833,-0.04415942545755833,2.7140527889400596,0.6665947890747511
张氏（江苏昆山）,江苏昆山,江苏,江苏,TRUE,17,19,0.00451783020374049,2.0621931926557298e-5,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,2.995732273553991,1.1868128453186524,2.843699450451549,0.3442836838850368,-0.04572389253084272,2.645330576544683,0.6665947890747511
杨氏（江苏金匮）,江苏金匮,江苏,江苏,TRUE,12,19,0.01375855194295269,1.9420756423988637e-4,3,TRUE,6,6,0,1,0.6295320036582305,0.6391511932854698,1,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218,0.7406724025607613,2.995732273553991,1.1868128453186524,1.854993577641156,1.3376606575101218,-0.03967435196000943,2.645330576544683,0.3149236320665172
谢氏（江西南康）,江西南康,江西,Other,TRUE,12,19,0.00722634672534898,2.392106772654533e-4,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,2.995732273553991,1.1868128453186524,1.854993577641156,0.6354490301838817,-0.038105972397520387,2.645330576544683,1
赵氏（江苏常熟）,江苏常熟,江苏,江苏,TRUE,13,19,0.00550762880183846,2.461178601919514e-5,3,TRUE,6,6,0,1,0.6295320036582305,0.6391511932854698,1,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218,0.7406724025607613,2.995732273553991,1.1868128453186524,2.0527347522032344,0.45068696748404463,-0.04558484424739061,2.645330576544683,0.3149236320665172
陆氏（浙江平湖）,浙江平湖,浙江,浙江,TRUE,12,19,0.00468400610154447,1.2540184400657982e-4,3,TRUE,3,3,0,1,0.4484876484351508,0.455340497393906,1,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493,0.6139413539046055,2.995732273553991,1.1868128453186524,1.854993577641156,0.36214758186926743,-0.0420722635297035,2.645330576544683,0.472016982183413
