family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component
季氏（直隶吴桥）,直隶吴桥,直隶,Other,FALSE,1,1,0,0,91,FALSE
宋氏（上海）,上海,上海,Other,FALSE,1,1,0,0,92,FALSE
宋氏（安徽庐江）,安徽庐江,安徽,安徽,FALSE,1,1,0,0.004986740446024921,3,TRUE
宋氏（山东胶州）,山东胶州,山东,Other,FALSE,1,1,0,0,40,FALSE
宋氏（江苏元和）,江苏元和,江苏,江苏,FALSE,1,1,0,6.200373726957591e-8,3,TRUE
宋氏（江苏滦阳）,江苏滦阳,江苏,江苏,FALSE,1,1,0,6.012211853512573e-11,3,TRUE
宋氏（江苏长洲工（《明清戏曲家考略全编》）,江苏长洲工（《明清戏曲家考略全编》,江苏,江苏,FALSE,1,1,0,4.083507899676598e-6,3,TRUE
宋氏（江西奉新工（《曾烦研究》）,江西奉新工（《曾烦研究》,江西,Other,FALSE,1,1,0,1.2562335315927165e-14,3,TRUE
宋氏（浙江乌程）,浙江乌程,浙江,浙江,FALSE,1,1,0,1.1003690116942943e-7,3,TRUE
宋氏（浙江仁和）,浙江仁和,浙江,浙江,FALSE,1,1,0,1.3287451227724202e-7,3,TRUE
宋氏（浙江平阳）,浙江平阳,浙江,浙江,FALSE,1,1,0,3.08276419845351e-12,3,TRUE
宋氏（浙江建德）,浙江建德,浙江,浙江,FALSE,1,1,0,3.250489731954066e-12,3,TRUE
宋氏（浙江杭州）,浙江杭州,浙江,浙江,FALSE,1,1,0,2.5524930364594407e-7,3,TRUE
完颜氏（长白）,长白,长白,Other,FALSE,1,1,0,1.8229810821999656e-6,3,TRUE
宗氏（江苏上元（《清代株卷集成》第178册）,江苏上元（《清代株卷集成》第178册,江苏,江苏,FALSE,1,1,0,3.1006437550289447e-7,3,TRUE
宗氏（江苏江都）,江苏江都,江苏,江苏,FALSE,1,1,0,0,94,FALSE
宗氏（浙江钱塘）,浙江钱塘,浙江,浙江,FALSE,1,1,0,0,95,FALSE
官氏（湖南邵武）,湖南邵武,湖南,Other,FALSE,1,1,0,0,29,FALSE
容氏（广东新会）,广东新会,广东,Other,FALSE,1,1,0,0,96,FALSE
容氏（湖北东莞）,湖北东莞,湖北,Other,FALSE,1,1,0,0,97,FALSE
富氏（江苏江宁）,江苏江宁,江苏,江苏,FALSE,1,1,0,0,98,FALSE
尤氏（江苏吴县）,江苏吴县,江苏,江苏,FALSE,1,1,0,3.175010732833417e-10,3,TRUE
居氏（湖北番禺）,湖北番禺,湖北,Other,FALSE,1,1,0,0,13,FALSE
屈氏（湖北番禺）,湖北番禺,湖北,Other,FALSE,1,1,0,0,99,FALSE
屠氏（江苏宜兴）,江苏宜兴,江苏,江苏,FALSE,1,1,0,3.0969115222533514e-6,3,TRUE
屠氏（江苏武进工（《桐城桂林方氏家谱》卷二十）,江苏武进工（《桐城桂林方氏家谱》卷二十,江苏,江苏,FALSE,1,1,0,0.0023771199076901978,3,TRUE
屠氏（浙江会稽）,浙江会稽,浙江,浙江,FALSE,1,1,0,4.000423673455039e-9,3,TRUE
屠氏（浙江秀水）,浙江秀水,浙江,浙江,FALSE,1,1,0,4.862271194227776e-11,3,TRUE
屠氏（浙江钱塘）,浙江钱塘,浙江,浙江,FALSE,1,1,0,0,100,FALSE
岑氏（浙江余姚）,浙江余姚,浙江,浙江,FALSE,1,1,0,5.431176632880931e-8,3,TRUE
岑氏（浙江慈溪）,浙江慈溪,浙江,浙江,FALSE,1,1,0,3.928538026766583e-7,3,TRUE
岳氏（浙江嘉兴）,浙江嘉兴,浙江,浙江,FALSE,1,1,0,0,101,FALSE
崔氏（不详）,不详,其他,Other,FALSE,1,1,0,4.336262614156917e-7,3,TRUE
崔氏（江苏宜兴）,江苏宜兴,江苏,江苏,FALSE,1,1,0,3.0969115222536335e-6,3,TRUE
崔氏（江苏宜兴工（《宜兴筱里任氏家谱》卷五之十）,江苏宜兴工（《宜兴筱里任氏家谱》卷五之十,江苏,江苏,FALSE,1,1,0,3.096911522253821e-6,3,TRUE
崔氏（江苏常熟）,江苏常熟,江苏,江苏,FALSE,1,1,0,0,11,FALSE
崔氏（江苏江都）,江苏江都,江苏,江苏,FALSE,1,1,0,0,11,FALSE
崔氏（江苏苏州）,江苏苏州,江苏,江苏,FALSE,1,1,0,2.491442070366639e-7,3,TRUE
崔氏（江苏阳湖工121册）,江苏阳湖工121册,江苏,江苏,FALSE,1,1,0,1.5039770191034518e-5,3,TRUE
崔氏（江苏阳湖工122册）,江苏阳湖工122册,江苏,江苏,FALSE,1,1,0,1.5039770191034506e-5,3,TRUE
崔氏（江西湖口）,江西湖口,江西,Other,FALSE,1,1,0,0,102,FALSE
崔氏（直隶平山）,直隶平山,直隶,Other,FALSE,1,1,0,0.004907893560915933,3,TRUE
嵇氏（江苏长洲）,江苏长洲,江苏,江苏,FALSE,1,1,0,1.1138462316468778e-4,3,TRUE
左氏（《慈云阁诗钞》卷首）,《慈云阁诗钞》卷首,其他,Other,FALSE,1,1,0,2.6029870715550724e-7,3,TRUE
左氏（《明清时期桐城女性文学研究》）,《明清时期桐城女性文学研究》,其他,Other,FALSE,1,1,0,0.004986740446024922,3,TRUE
左氏（安徽泾县）,安徽泾县,安徽,安徽,FALSE,1,1,0,0,103,FALSE
左氏（湖南湘阴（《慈云阁诗钞》卷首）,湖南湘阴（《慈云阁诗钞》卷首,湖南,Other,FALSE,1,1,0,2.6029870715555717e-7,3,TRUE
左氏（湖南湘阴九（《资江陶氏七续族谱提本》卷一）,湖南湘阴九（《资江陶氏七续族谱提本》卷一,湖南,Other,FALSE,1,1,0,1.117729301876765e-6,3,TRUE
左氏（湖南湘阴工67册）,湖南湘阴工67册,湖南,Other,FALSE,1,1,0,1.1177293018773089e-6,3,TRUE
左氏（直隶沧州）,直隶沧州,直隶,Other,FALSE,1,1,0,3.588762592840355e-10,3,TRUE
左氏（直隶河间）,直隶河间,直隶,Other,FALSE,1,1,0,5.552922389951131e-9,3,TRUE
帅氏（《闺阁与画舫：清代嘉庆道光年间的江南文人和女性研究》）,《闺阁与画舫：清代嘉庆道光年间的江南文人和女性研究》,其他,Other,FALSE,1,1,0,5.15366339266971e-5,3,TRUE
帅氏（江西奉新）,江西奉新,江西,Other,FALSE,1,1,0,3.327377054477685e-7,3,TRUE
帅氏（湖北黄梅工65册）,湖北黄梅工65册,湖北,Other,FALSE,1,1,0,2.4947259975310513e-9,3,TRUE
席氏（江苏常熟）,江苏常熟,江苏,江苏,FALSE,1,1,0,0.0049078935609159335,3,TRUE
席氏（江苏昭文儿（《江南望族：洞庭席氏家族人物传》）,江苏昭文儿（《江南望族：洞庭席氏家族人物传》,江苏,江苏,FALSE,1,1,0,6.253464475122552e-7,3,TRUE
庄氏（山东莒县）,山东莒县,山东,Other,FALSE,1,1,0,0,14,FALSE
庄氏（江苏奉贤）,江苏奉贤,江苏,江苏,FALSE,1,1,0,6.60926513171389e-8,3,TRUE
庄氏（江苏武进工（《桐城麻溪姚氏宗谱》卷六）,江苏武进工（《桐城麻溪姚氏宗谱》卷六,江苏,江苏,FALSE,1,1,0,0.004986740446024922,3,TRUE
庄氏（江苏武进工卷十）,江苏武进工卷十,江苏,江苏,FALSE,1,1,0,1.1803299223088672e-6,3,TRUE
庄氏（浙江桐乡）,浙江桐乡,浙江,浙江,FALSE,1,1,0,4.862271201183834e-11,3,TRUE
庄氏（浙江海宁）,浙江海宁,浙江,浙江,FALSE,1,1,0,1.8224002263524477e-12,3,TRUE
库氏（《清闺秀艺文略》卷三）,《清闺秀艺文略》卷三,其他,Other,FALSE,1,1,0,3.9323216907280583e-7,3,TRUE
库氏（江苏武进）,江苏武进,江苏,江苏,FALSE,1,1,0,7.869577296101935e-5,3,TRUE
应氏（浙江慈溪）,浙江慈溪,浙江,浙江,FALSE,1,1,0,2.0733851244475597e-8,3,TRUE
应氏（浙江永康）,浙江永康,浙江,浙江,FALSE,1,1,0,4.757328884577854e-7,3,TRUE
应氏（浙江钱塘）,浙江钱塘,浙江,浙江,FALSE,1,1,0,1.2424503359676724e-5,3,TRUE
庞氏（广东南海）,广东南海,广东,Other,FALSE,1,1,0,0,104,FALSE
庞氏（广东番禺）,广东番禺,广东,Other,FALSE,1,1,0,0,35,FALSE
庞氏（江苏吴江）,江苏吴江,江苏,江苏,FALSE,1,1,0,8.908015749045788e-9,3,TRUE
庞氏（直隶宁津72册）,直隶宁津72册,直隶,Other,FALSE,1,1,0,3.149398558158764e-7,3,TRUE
康氏（浙江钱塘）,浙江钱塘,浙江,浙江,FALSE,1,1,0,8.185408123812006e-8,3,TRUE
廉氏（江苏金匮）,江苏金匮,江苏,江苏,FALSE,1,1,0,2.927474541189972e-4,3,TRUE
廖氏（湖北罗田）,湖北罗田,湖北,Other,FALSE,1,1,0,3.2034031371512e-16,3,TRUE
廖氏（福建侯官）,福建侯官,福建,Other,FALSE,1,1,0,9.616672110919733e-9,3,TRUE
张氏（上海华亭）,上海华亭,上海,Other,FALSE,1,1,0,0,106,FALSE
张氏（上海南汇）,上海南汇,上海,Other,FALSE,1,1,0,6.332058363603042e-9,3,TRUE
张氏（上海桐城）,上海桐城,上海,Other,FALSE,1,1,0,0.004986740446024923,3,TRUE
张氏（上海江苏其他）,上海江苏其他,江苏,江苏,FALSE,1,1,0,1.9467841607050002e-13,3,TRUE
张氏（云南大理）,云南大理,云南,Other,FALSE,1,1,0,4.072982656473378e-8,3,TRUE
张氏（云南太和）,云南太和,云南,Other,FALSE,1,1,0,4.9769593127438336e-5,3,TRUE
张氏（四川合州）,四川合州,四川,Other,FALSE,1,1,0,5.904819433308513e-8,3,TRUE
张氏（安徽全椒）,安徽全椒,安徽,安徽,FALSE,1,1,0,1.862479177276075e-11,3,TRUE
张氏（安徽太湖）,安徽太湖,安徽,安徽,FALSE,1,1,0,1.3928093488237259e-9,3,TRUE
张氏（安徽安庆）,安徽安庆,安徽,安徽,FALSE,1,1,0,1.0843732136735158e-5,3,TRUE
张氏（安徽当涂）,安徽当涂,安徽,安徽,FALSE,1,1,0,0.0023771199076901973,3,TRUE
张氏（安徽桐城（《张氏宗谱》卷）,安徽桐城（《张氏宗谱》卷,安徽,安徽,FALSE,1,1,0,0.004986740446024922,3,TRUE
张氏（安徽桐城（《张氏宗谱》卷七）,安徽桐城（《张氏宗谱》卷七,安徽,安徽,FALSE,1,1,0,2.479945729329048e-5,3,TRUE
张氏（安徽桐城（《张氏宗谱》卷二）,安徽桐城（《张氏宗谱》卷二,安徽,安徽,FALSE,1,1,0,4.4251752407412667e-4,3,TRUE
张氏（安徽桐城（《张氏宗谱》卷五）,安徽桐城（《张氏宗谱》卷五,安徽,安徽,FALSE,1,1,0,0.0023771199076901978,3,TRUE
张氏（安徽桐城（《明清时期桐城女性文学研究》）,安徽桐城（《明清时期桐城女性文学研究》,安徽,安徽,FALSE,1,1,0,0,108,FALSE
张氏（安徽桐城九（《张氏宗谱》卷五）,安徽桐城九（《张氏宗谱》卷五,安徽,安徽,FALSE,1,1,0,0.004986740446024922,3,TRUE
张氏（安徽桐城九（《桐城麻溪姚氏宗谱》卷八）,安徽桐城九（《桐城麻溪姚氏宗谱》卷八,安徽,安徽,FALSE,1,1,0,0.004986740446024922,3,TRUE
张氏（安徽桐城兀（《张氏宗谱》卷三）,安徽桐城兀（《张氏宗谱》卷三,安徽,安徽,FALSE,1,1,0,0.0023771199076901973,3,TRUE
张氏（安徽桐城兀（《张氏宗谱》卷四）,安徽桐城兀（《张氏宗谱》卷四,安徽,安徽,FALSE,1,1,0,0.004986740446024922,3,TRUE
张氏（安徽桐城兀（《桐城麻溪姚氏宗谱》卷六）,安徽桐城兀（《桐城麻溪姚氏宗谱》卷六,安徽,安徽,FALSE,1,1,0,0.004986740446024923,3,TRUE
张氏（安徽桐城工（《张氏宗谱》卷）,安徽桐城工（《张氏宗谱》卷,安徽,安徽,FALSE,1,1,0,0.004986740446024922,3,TRUE
张氏（安徽桐城工（《张氏宗谱》卷三）,安徽桐城工（《张氏宗谱》卷三,安徽,安徽,FALSE,1,1,0,0.0023771199076901978,3,TRUE
张氏（安徽桐城工202册）,安徽桐城工202册,安徽,安徽,FALSE,1,1,0,3.2669522931899466e-7,3,TRUE
张氏（安徽萧县）,安徽萧县,安徽,安徽,FALSE,1,1,0,0,109,FALSE
张氏（山东安丘）,山东安丘,山东,Other,TRUE,1,1,0,0,43,FALSE
张氏（山东济宁）,山东济宁,山东,Other,FALSE,1,1,0,6.740434119218657e-7,3,TRUE
张氏（山东蓬莱）,山东蓬莱,山东,Other,FALSE,1,1,0,3.194900454262668e-9,3,TRUE
张氏（山东齐河）,山东齐河,山东,Other,FALSE,1,1,0,0,110,FALSE
张氏（山西平定）,山西平定,山西,Other,FALSE,1,1,0,2.605699403773593e-7,3,TRUE
张氏（广东南海）,广东南海,广东,Other,FALSE,1,1,0,0,111,FALSE
张氏（广东番禺）,广东番禺,广东,Other,FALSE,1,1,0,2.5010111169720063e-5,3,TRUE
张氏（江苏句容）,江苏句容,江苏,江苏,FALSE,1,1,0,1.1856501435580134e-5,3,TRUE
张氏（江苏吴江）,江苏吴江,江苏,江苏,FALSE,1,1,0,7.466488735815786e-12,3,TRUE
张氏（江苏武进）,江苏武进,江苏,江苏,FALSE,1,1,0,7.869577296101975e-5,3,TRUE
张氏（江苏江宁工（《桐城麻溪姚氏宗谱》卷五）,江苏江宁工（《桐城麻溪姚氏宗谱》卷五,江苏,江苏,FALSE,1,1,0,0.004986740446024922,3,TRUE
张氏（江苏江都）,江苏江都,江苏,江苏,FALSE,1,1,0,1.409979187534768e-6,3,TRUE
张氏（江苏江阴）,江苏江阴,江苏,江苏,FALSE,1,1,0,2.0898936373345706e-10,3,TRUE
张氏（江苏甘泉）,江苏甘泉,江苏,江苏,FALSE,1,1,0,3.5064512789873403e-11,3,TRUE
张氏（江苏苏州）,江苏苏州,江苏,江苏,FALSE,1,1,0,1.0843732136735123e-5,3,TRUE
张氏（江苏金山）,江苏金山,江苏,江苏,FALSE,1,1,0,0,86,FALSE
张氏（江苏铜山）,江苏铜山,江苏,江苏,FALSE,1,1,0,8.355537418975161e-9,3,TRUE
张氏（江苏青浦工168册）,江苏青浦工168册,江苏,江苏,FALSE,1,1,0,8.865009912635942e-9,3,TRUE
张氏（江西义宁）,江西义宁,江西,Other,FALSE,1,1,0,1.0338657132075753e-15,3,TRUE
张氏（江西余干）,江西余干,江西,Other,FALSE,1,1,0,0,18,FALSE
张氏（江西铅山）,江西铅山,江西,Other,FALSE,1,1,0,3.9075033232378217e-7,3,TRUE
张氏（河南仪封）,河南仪封,河南,Other,FALSE,1,1,0,8.385174933531585e-10,3,TRUE
张氏（河南祥符）,河南祥符,河南,Other,FALSE,1,1,0,1.3178005937688531e-9,3,TRUE
张氏（浙江上虞）,浙江上虞,浙江,浙江,FALSE,1,1,0,0,81,FALSE
张氏（浙江东阳）,浙江东阳,浙江,浙江,FALSE,1,1,0,1.5871035953277292e-6,3,TRUE
张氏（浙江临海）,浙江临海,浙江,浙江,FALSE,1,1,0,1.2392815312185355e-7,3,TRUE
张氏（浙江台州）,浙江台州,浙江,浙江,FALSE,1,1,0,0,112,FALSE
张氏（浙江吴兴）,浙江吴兴,浙江,浙江,FALSE,1,1,0,0,113,FALSE
张氏（浙江桐乡）,浙江桐乡,浙江,浙江,FALSE,1,1,0,0,114,FALSE
张氏（浙江永嘉）,浙江永嘉,浙江,浙江,FALSE,1,1,0,0,115,FALSE
张氏（浙江海盐工（《海宁渤海陈氏宗谱》卷）,浙江海盐工（《海宁渤海陈氏宗谱》卷,浙江,浙江,FALSE,1,1,0,1.0843732136734797e-5,3,TRUE
张氏（浙江钱塘工257册）,浙江钱塘工257册,浙江,浙江,FALSE,1,1,0,1.239281531215844e-7,3,TRUE
张氏（湖北江夏）,湖北江夏,湖北,Other,FALSE,1,1,0,1.8229810821994828e-6,3,TRUE
张氏（湖北湘乡）,湖北湘乡,湖北,Other,FALSE,1,1,0,0,116,FALSE
张氏（湖北湘潭）,湖北湘潭,湖北,Other,FALSE,1,1,0,0,32,FALSE
张氏（湖北番禺）,湖北番禺,湖北,Other,FALSE,1,1,0,7.475157749316726e-8,3,TRUE
张氏（湖北闽县）,湖北闽县,湖北,Other,FALSE,1,1,0,0,117,FALSE
张氏（湖北麻城）,湖北麻城,湖北,Other,FALSE,1,1,0,2.4846422098901255e-7,3,TRUE
张氏（湖北黄州）,湖北黄州,湖北,Other,FALSE,1,1,0,2.2500416783261027e-9,3,TRUE
张氏（湖南宁乡）,湖南宁乡,湖南,Other,FALSE,1,1,0,0,118,FALSE
张氏（直隶天津）,直隶天津,直隶,Other,FALSE,1,1,0,1.2602926437913466e-8,3,TRUE
归氏（江苏常熟（《京江归氏世谱》卷二）,江苏常熟（《京江归氏世谱》卷二,江苏,江苏,FALSE,1,1,0,2.444027774276354e-6,3,TRUE
归氏（江苏常熟工（《京江归氏世谱》卷一）,江苏常熟工（《京江归氏世谱》卷一,江苏,江苏,FALSE,1,1,0,2.2533685676814116e-6,3,TRUE
